No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y
193,2013.17,15987,57.59,7,24.97,121.54,427000
194,2013.42,3540.5,421.48,5,24.98,121.54,493000
195,2013.5,5548,3771.9,0,24.93,121.51,293000
196,2013.33,5548,461.1,5,24.95,121.54,346000
197,2013,8322,707.91,2,24.98,121.55,366000
198,2013.25,12556,126.73,8,24.97,121.54,482000
199,2013.08,12410,157.61,7,24.97,121.54,391000
200,2013.42,6643,451.64,8,24.97,121.54,316000
201,2013.42,6351,995.76,0,24.96,121.55,255000
202,2013.42,4781.5,561.98,5,24.99,121.54,459000
203,2012.92,13979.5,642.7,3,24.98,121.54,315000
204,2012.67,5694,289.32,5,24.98,121.54,461000
205,2013,6570,1414.84,1,24.95,121.55,266000
206,2013.08,4672,1449.72,3,24.97,121.52,214000
207,2013.25,8103,379.56,10,24.98,121.54,440000
208,2013.08,14052.5,665.06,3,24.98,121.54,342000
209,2012.75,4197.5,1360.14,1,24.95,121.55,262000
210,2012.83,12702,175.63,8,24.97,121.54,409000
211,2013.5,1898,390.57,5,24.98,121.54,522000
212,2013.08,0,274.01,1,24.97,121.53,435000
213,2013.33,6424,1805.67,2,24.99,121.52,311000
214,2013.08,2263,90.46,9,24.97,121.54,580000
215,2013.58,6606.5,1783.18,3,24.97,121.51,209000
216,2013.33,7008,383.71,8,24.97,121.54,481000
217,2013.25,13797,590.93,1,24.97,121.54,397000
218,2012.92,10220,372.62,6,24.98,121.54,408000
219,2013.42,4964,492.23,5,24.97,121.54,438000
220,2012.75,10694.5,529.78,8,24.98,121.54,402000
221,2013.33,13578,186.51,9,24.98,121.54,783000
222,2013.33,3285,1402.02,0,24.99,121.53,385000
223,2013.58,11169,431.11,10,24.98,121.54,485000
224,2013.25,3321.5,1402.02,0,24.99,121.53,423000
225,2013.33,12592.5,324.94,6,24.98,121.54,460000
226,2013.25,401.5,193.58,6,24.97,121.54,490000
227,2013,6022.5,4082.02,0,24.94,121.5,128000
228,2012.92,11826,265.06,8,24.98,121.54,402000
229,2013.42,4343.5,3171.33,0,25,121.52,466000
230,2013.58,11315,1156.41,0,24.95,121.53,190000
231,2013.5,1460,2147.38,3,24.96,121.51,334000
232,2012.83,5913,4074.74,0,24.94,121.5,147000
233,2012.92,9891.5,4412.77,1,24.95,121.5,174000
234,2013.33,14490.5,333.37,9,24.98,121.54,324000
235,2013.25,2920,2216.61,4,24.96,121.51,239000
236,2012.75,4708.5,250.63,7,24.97,121.54,393000
237,2013.17,1314,373.84,10,24.98,121.54,619000
238,2013.17,4745,732.85,0,24.98,121.53,390000
239,2013.08,4672,732.85,0,24.98,121.53,406000
240,2013.5,6606.5,837.72,0,24.96,121.55,297000
241,2013.08,4015,1712.63,2,24.96,121.52,288000
242,2013.5,5000.5,250.63,7,24.97,121.54,414000
243,2012.83,730,2077.39,3,24.96,121.51,334000
244,2013.42,11972,204.17,8,24.98,121.54,482000
245,2013.08,1752,1559.83,3,24.97,121.52,217000
246,2013.42,2737.5,639.62,5,24.97,121.55,408000
247,2013.42,5986,389.82,6,24.96,121.54,406000
248,2013.33,7920.5,1055.07,0,24.96,121.55,231000
249,2013,6935,1009.24,0,24.96,121.55,223000
250,2012.83,6570,6306.15,1,24.96,121.48,150000
251,2013.17,14308,424.71,7,24.97,121.54,300000
252,2012.92,11570.5,1159.45,0,24.95,121.53,138000
253,2012.83,2153.5,90.46,9,24.97,121.54,527000
254,2012.67,11096,1735.6,2,24.96,121.52,259000
255,2012.67,401.5,329.97,5,24.98,121.54,518000
256,2013.42,11497.5,5512.04,1,24.95,121.48,174000
257,2012.67,5329,339.23,1,24.98,121.53,265000
258,2013.25,6314.5,444.13,1,24.98,121.53,439000
259,2013.42,0,293,6,24.98,121.54,633000
260,2013.08,6460.5,837.72,0,24.96,121.55,288000
261,2013.25,6205,1485.1,4,24.97,121.52,307000
262,2013.17,5913,2288.01,3,24.96,121.51,244000
263,2012.92,5803.5,289.32,5,24.98,121.54,530000
264,2013.42,1423.5,2147.38,3,24.96,121.51,317000
265,2013.17,11899,493.66,7,24.97,121.55,406000
266,2012.83,5730.5,815.93,4,24.98,121.53,381000
267,2013.25,6497,1783.18,3,24.97,121.51,237000
268,2012.83,12665.5,482.76,5,24.97,121.54,411000
269,2013.42,6278,390.57,5,24.98,121.54,401000
270,2013,6424,837.72,0,24.96,121.55,230000
271,2013.33,3942,252.58,1,24.97,121.53,1175000
272,2012.92,6460.5,451.64,8,24.97,121.54,265000
273,2012.75,4745,492.23,5,24.97,121.54,405000
274,2013.42,4818,170.13,1,24.97,121.53,293000
275,2013.17,10037.5,394.02,7,24.97,121.54,410000
276,2012.67,547.5,23.38,7,24.97,121.54,497000
277,2013,6971.5,461.1,5,24.95,121.54,340000
278,2013.42,7738,2185.13,3,24.96,121.51,277000
279,2012.75,0,208.39,6,24.96,121.54,440000
280,2013.42,949,1554.25,3,24.97,121.52,311000
281,2013.25,839.5,184.33,6,24.97,121.54,454000
282,2013.33,1715.5,387.77,9,24.98,121.54,448000
283,2012.92,730,1455.8,1,24.95,121.55,256000
284,2013.42,12227.5,1978.67,2,24.99,121.52,235000
285,2012.92,5475,383.28,7,24.97,121.54,344000
286,2013.17,10986.5,718.29,3,24.98,121.54,553000
287,2012.92,2153.5,90.46,9,24.97,121.54,563000
288,2013,7008,461.1,5,24.95,121.54,329000
289,2013.58,6059,323.69,6,24.98,121.54,510000
290,2013.33,5073.5,289.32,5,24.98,121.54,445000
291,2013.08,13760.5,490.34,0,24.97,121.53,370000
292,2012.83,1241,56.47,7,24.96,121.54,544000
293,2013.08,6387.5,395.67,5,24.96,121.53,245000
294,2012.67,4599,383.28,7,24.97,121.54,425000
295,2013.5,9636,335.53,6,24.98,121.54,381000
296,2013.17,6643,2179.59,3,24.96,121.51,218000
297,2012.75,4562.5,1144.44,4,24.99,121.53,341000
298,2012.83,12738.5,567.03,4,24.97,121.55,285000
299,2013.33,6095.5,4082.02,0,24.94,121.5,167000
300,2013.17,12118,121.73,10,24.98,121.54,461000
301,2013.08,912.5,156.24,4,24.97,121.54,369000
302,2012.75,13870,461.78,0,24.97,121.53,357000
303,2013.5,6022.5,2288.01,3,24.96,121.51,232000
304,2013.5,13979.5,439.71,0,24.97,121.53,384000
305,2013.42,7300,1626.08,3,24.97,121.52,294000
306,2013.08,5913,289.32,5,24.98,121.54,550000
307,2013.5,5256,169.98,1,24.97,121.53,502000
308,2012.83,3759.5,3079.89,0,24.95,121.57,247000
309,2013.42,5986,289.32,5,24.98,121.54,530000
310,2013.25,11059.5,1264.73,0,24.95,121.53,191000
311,2013.58,5986,1643.5,2,24.95,121.55,247000
312,2013.17,7774.5,537.8,4,24.97,121.54,422000
313,2013.58,12921,318.53,9,24.97,121.54,780000
314,2013.33,3029.5,104.81,5,24.97,121.54,428000
315,2013.25,1350.5,577.96,6,24.97,121.55,416000
316,2013.08,5694,1756.41,2,24.98,121.52,273000
317,2013.25,4854.5,250.63,7,24.97,121.54,420000
318,2012.75,5694,752.77,2,24.98,121.53,375000
319,2013.33,2591.5,379.56,10,24.98,121.54,498000
320,2013.25,12629,272.68,5,24.96,121.54,269000
321,2012.75,4927.5,4197.35,0,24.94,121.5,186000
322,2012.92,6168.5,964.75,4,24.99,121.53,377000
323,2013,4708.5,187.48,1,24.97,121.53,331000
324,2013.42,10439,197.13,6,24.98,121.54,425000
325,2012.67,4526,1712.63,2,24.96,121.52,313000
326,2013.08,13359,488.82,8,24.97,121.54,381000
327,2013.5,1496.5,56.47,7,24.96,121.54,621000
328,2013.42,1277.5,757.34,3,24.98,121.55,367000
329,2012.83,5803.5,1497.71,3,24.97,121.52,236000
330,2013,4964,4197.35,0,24.94,121.5,192000
331,2013.08,11680,1156.78,0,24.95,121.53,128000
332,2013.33,9344,4519.69,0,24.95,121.5,156000
333,2013.17,14527,617.71,2,24.98,121.53,396000
334,2012.75,2847,104.81,5,24.97,121.54,384000
335,2012.92,10950,1013.34,5,24.99,121.53,228000
336,2013.58,9964.5,337.6,6,24.96,121.54,365000
337,2012.83,1861.5,1867.23,2,24.98,121.52,356000
338,2012.83,11424.5,600.86,5,24.97,121.55,309000
339,2012.92,11497.5,258.19,9,24.97,121.54,363000
340,2013.33,620.5,329.97,5,24.98,121.54,504000
341,2013.33,12264,270.89,0,24.97,121.53,429000
342,2013,4745,750.07,2,24.97,121.55,370000
343,2012.67,2080.5,90.46,9,24.97,121.54,535000
344,2013,12227.5,563.29,8,24.98,121.54,466000
345,2013.5,12629,3085.17,0,25,121.52,412000
346,2012.67,0,185.43,0,24.97,121.53,379000
347,2013.42,4818,1712.63,2,24.96,121.52,308000
348,2013.58,6351,6488.02,1,24.96,121.47,112000
349,2012.83,1679,259.66,6,24.98,121.55,537000
350,2012.75,2847,104.81,5,24.97,121.54,470000
351,2013,4818,492.23,5,24.97,121.54,423000
352,2012.83,1460,2180.25,3,24.96,121.51,286000
353,2012.83,6716,2674.96,3,24.96,121.51,257000
354,2013.5,1496.5,2147.38,3,24.96,121.51,313000
355,2013.42,4453,1360.14,1,24.95,121.55,301000
356,2013.25,1387,383.86,5,24.98,121.54,607000
357,2012.83,3759.5,211.45,1,24.97,121.53,453000
358,2013.42,0,338.97,9,24.97,121.54,449000
359,2013.17,401.5,193.58,6,24.97,121.54,451000
360,2013.5,2044,2408.99,0,24.96,121.56,247000
361,2012.67,12008.5,87.3,10,24.98,121.54,471000
362,2013.08,15111,281.21,8,24.97,121.54,633000
363,2013.42,6241.5,967.4,4,24.99,121.53,400000
364,2013.5,11789.5,109.95,10,24.98,121.54,480000
365,2013.42,12884.5,614.14,7,24.98,121.54,331000
366,2012.92,6314.5,2261.43,4,24.96,121.51,295000
367,2012.75,5183,1801.54,1,24.95,121.55,248000
368,2012.83,5475,1828.32,2,24.96,121.52,209000
369,2013.42,6643,350.85,1,24.98,121.53,431000
370,2012.67,7373,2185.13,3,24.96,121.51,228000
371,2012.75,5803.5,289.32,5,24.98,121.54,421000
372,2013.5,1496.5,312.9,5,24.96,121.54,517000
373,2013,12373.5,157.61,7,24.97,121.54,415000
374,2013.08,0,274.01,1,24.97,121.53,522000
375,2013.25,1971,390.57,5,24.98,121.54,495000
376,2013.25,7920.5,1157.99,0,24.96,121.55,238000
377,2013.42,5365.5,1717.19,2,24.96,121.52,305000
378,2013.33,1423.5,49.66,8,24.96,121.54,568000
379,2013.33,13614.5,587.89,8,24.97,121.55,374000
380,2013.33,0,293,6,24.98,121.54,697000
381,2013.33,5146.5,289.32,5,24.98,121.54,533000
382,2013.42,2920,132.55,9,24.98,121.54,473000
383,2013,5949.5,3529.56,0,24.93,121.52,293000
384,2012.67,10621.5,506.11,4,24.98,121.54,403000
385,2012.75,5876.5,4066.59,0,24.94,121.5,129000
386,2013,6679.5,82.89,10,24.98,121.54,466000
387,2012.83,0,185.43,0,24.97,121.53,553000
388,2013.25,5913,2103.56,3,24.96,121.51,256000
389,2013.5,3796,2251.94,4,24.96,121.51,273000
390,2013.25,14928.5,122.36,8,24.97,121.54,677000
391,2013.5,11972,377.83,9,24.97,121.54,386000
392,2013.58,2263,1939.75,1,24.95,121.55,313000
393,2013.08,15585.5,443.8,6,24.98,121.54,353000
394,2013,6168.5,967.4,4,24.99,121.53,403000
395,2013.5,11899,4136.27,1,24.96,121.5,247000
396,2012.92,7738,512.55,4,24.97,121.54,425000
397,2012.67,13541.5,918.64,1,24.97,121.55,319000
398,2013.42,4781.5,1164.84,4,24.99,121.53,322000
399,2013.42,5365.5,1717.19,2,24.96,121.52,230000
400,2012.92,4635.5,170.13,1,24.97,121.53,373000
401,2013.25,9782,482.76,5,24.97,121.54,355000
402,2013.08,2774,2175.03,3,24.96,121.51,277000
403,2012.83,4635.5,187.48,1,24.97,121.53,285000
404,2012.67,11278.5,161.94,9,24.98,121.54,397000
405,2013.33,5986,289.32,5,24.98,121.54,412000
406,2012.67,8395,130.99,6,24.96,121.54,372000
407,2013.17,693.5,372.14,7,24.97,121.54,405000
408,2013,1898,2408.99,0,24.96,121.56,223000
409,2013.42,6752.5,2175.74,3,24.96,121.51,281000
410,2013,5000.5,4082.02,0,24.94,121.5,154000
411,2012.67,2044,90.46,9,24.97,121.54,500000
412,2013.25,6862,390.97,7,24.98,121.54,406000
413,2013,2956.5,104.81,5,24.97,121.54,525000
414,2013.5,2372.5,90.46,9,24.97,121.54,639000
